member_id,zip_code,home_lat,home_lng,opt_in_push,last_visit,avg_transaction,preferred_categories
LOY-1000,75209,32.78654281303747,-96.73013815104322,1,2026-05-14 13:15:22,169.01,"ENTERTAINMENT,ELECTRONICS,FASHION"
LOY-1001,75230,32.73738012258876,-96.94304534044299,1,2026-05-15 11:15:22,114.6,"ENTERTAINMENT,SPORTING"
LOY-1002,75219,32.90648734246613,-96.87088374882585,1,2026-05-25 11:15:22,121.56,"FASHION,FB"
LOY-1003,75225,32.75019439172453,-96.83412494084536,1,2026-05-14 14:15:22,96.91,"SPORTING,ENTERTAINMENT"
LOY-1004,75206,32.66852378506155,-96.73711062107698,1,2026-04-21 15:15:22,174.85,"ELECTRONICS,ENTERTAINMENT,BEAUTY"
LOY-1005,75201,32.81544795276762,-96.85215938765847,1,2026-05-08 08:15:22,56.4,SPORTING
LOY-1006,75219,32.66895017687257,-96.71421137018557,0,2026-05-29 13:15:22,120.18,"FB,BEAUTY,ELECTRONICS"
LOY-1007,75240,32.75701088894334,-96.7704295186514,1,2026-04-24 12:15:22,80.28,"SPORTING,BEAUTY,ENTERTAINMENT"
LOY-1008,75219,32.74399610573835,-96.68816785452552,0,2026-04-17 15:15:22,178.23,ENTERTAINMENT
LOY-1009,75206,32.638503909322736,-96.68122641742681,1,2026-04-19 12:15:22,143.45,"ENTERTAINMENT,BEAUTY"
LOY-1010,75206,32.74025022350661,-96.88412491716139,1,2026-05-13 07:15:22,60.76,"BEAUTY,SPORTING,FASHION"
LOY-1011,75219,32.63882211613396,-96.6797861705019,1,2026-05-20 14:15:22,63.08,"BEAUTY,ENTERTAINMENT,ELECTRONICS"
LOY-1012,75204,32.74463095561225,-96.8142349955102,1,2026-04-20 13:15:22,122.46,"ELECTRONICS,FB,FASHION"
LOY-1013,75204,32.79367545983735,-96.68350078742375,1,2026-04-21 07:15:22,31.78,"BEAUTY,SPORTING"
LOY-1014,75248,32.84862767230593,-96.689655380225,1,2026-05-19 06:15:22,133.45,FASHION
LOY-1015,75248,32.87558910734046,-96.675080087763,0,2026-05-21 16:15:22,17.81,"FB,ELECTRONICS"
LOY-1016,75209,32.735190469653794,-96.89386215662593,1,2026-04-25 15:15:22,123.85,"BEAUTY,ENTERTAINMENT"
LOY-1017,75230,32.91937584047262,-96.88645794520409,1,2026-04-18 06:15:22,97.3,"ELECTRONICS,FASHION"
LOY-1018,75248,32.82960355888528,-96.66647543410892,1,2026-05-26 16:15:22,177.64,"ELECTRONICS,BEAUTY,FASHION"
LOY-1019,75225,32.883291163297436,-96.90064043967311,0,2026-05-26 08:15:22,150.89,"ELECTRONICS,BEAUTY"
LOY-1020,75209,32.75312157987829,-96.67833245681584,0,2026-05-14 07:15:22,107.38,"ELECTRONICS,FB"
LOY-1021,75219,32.718036050481004,-96.90383410219758,0,2026-04-28 07:15:22,143.68,"FB,ELECTRONICS,ENTERTAINMENT"
LOY-1022,75206,32.88040248137556,-96.71158762803219,0,2026-05-29 10:15:22,95.01,"FASHION,FB,SPORTING"
LOY-1023,75204,32.908113552843425,-96.65272161798117,1,2026-05-04 12:15:22,134.75,"FASHION,ENTERTAINMENT,SPORTING"
